LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL
94081790062014072813545923230850,,14 Navigation Point,Middleton Road,TS24 0UG,527991340000,133,F,A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways,2014-07-28,E06000001,E14000733,,2014-07-28,Mandatory issue (Marketed sale).,43,126,3,Grid Supplied Electricity,,,,52,106.93,91.61,268.44,283.99,No,,,4,Heating and Mechanical Ventilation,"14 Navigation Point, Middleton Road",Hartlepool,Hartlepool
94161960022014073117012558730980,,Booze Busters,129 Oxford Road,TS25 5RP,859563870000,82,D,A1/A2 Retail and Financial/Professional services,2014-07-31,E06000001,E14000733,,2014-07-31,Mandatory issue (Marketed sale).,22,64,3,Grid Supplied Electricity,,,,95,60.88,26.69,78.22,99.66,Yes,,1,4,Air Conditioning,"Booze Busters, 129 Oxford Road",Hartlepool,Hartlepool
95964560042014100808534353809000,,King Oswy Fish & Chips,61-63 King Oswy Drive,TS24 9PF,402006850000,82,D,A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways,2014-10-07,E06000001,E14000733,,2014-10-08,Mandatory issue (Marketed sale).,33,98,3,Grid Supplied Electricity,,,,77,118.38,79.18,232.02,195.09,No,,,4,Heating and Natural Ventilation,"King Oswy Fish & Chips, 61-63 King Oswy Drive",Hartlepool,Hartlepool
97075650102015011911193550209990,,119 York Road,,TS26 9DL,412805250000,85,D,A1/A2 Retail and Financial/Professional services,2014-11-10,E06000001,E14000733,,2015-01-19,Mandatory issue (Property to let).,33,98,3,Grid Supplied Electricity,,,,164,53.4,35.67,104.53,90.73,No,,,4,Heating and Natural Ventilation,119 York Road,Hartlepool,Hartlepool
98091836952014121715521201909754,,1 Burbank Mews,Burbank Street,TS24 7NY,749261250000,22,A,C2 Residential Institutions - Hospitals and Care Homes,2014-12-17,E06000001,E14000733,,2014-12-17,Mandatory issue (Property on construction).,24,71,4,Natural Gas,,,,334,83.07,40.36,118.27,36.22,No,,,4,Heating and Natural Ventilation,"1 Burbank Mews, Burbank Street",Hartlepool,Hartlepool
98092174032014121715553830900291,,2 Burbank Mews,Burbank Street,TS24 7NY,712021610000,23,A,C2 Residential Institutions - Hospitals and Care Homes,2014-12-17,E06000001,E14000733,,2014-12-17,Mandatory issue (Property on construction).,24,71,4,Natural Gas,,,,334,83.07,40.36,118.27,38.14,No,,,4,Heating and Natural Ventilation,"2 Burbank Mews, Burbank Street",Hartlepool,Hartlepool
98632470742015012014131474000990,,35-41 Chatham Road,,TS24 8QG,678777070000,102,E,A1/A2 Retail and Financial/Professional services,2015-01-14,E06000001,E14000733,,2015-01-20,Mandatory issue (Non-marketed sale).,29,85,3,Grid Supplied Electricity,,,,506,40.68,23.72,69.52,83.33,No,,,4,Heating and Natural Ventilation,35-41 Chatham Road,Hartlepool,Hartlepool
98905465032015012908242995000690,,John F Gent Ltd,161 York Road,TS26 9EQ,607562980000,124,E,A1/A2 Retail and Financial/Professional services,2015-01-21,E06000001,E14000733,,2015-01-29,Mandatory issue (Property to let).,31,91,3,Grid Supplied Electricity,,,,181,31.05,19.33,56.64,77.03,No,,,4,Heating and Natural Ventilation,"John F Gent Ltd, 161 York Road",Hartlepool,Hartlepool
99654220022015030211004789220360,,J C S Contractors Ltd,Usworth Road,TS25 1PD,682129940000,261,G,B1 Offices and Workshop businesses,2015-02-27,E06000001,E14000733,,2015-03-02,Mandatory issue (Marketed sale).,43,127,3,Grid Supplied Electricity,,,,138,33.34,28.85,84.54,173.97,No,,,4,Heating and Natural Ventilation,"J C S Contractors Ltd, Usworth Road",Hartlepool,Hartlepool
127834530502017112910470873009290,,Seneca Investment & Development Ltd,Hunter House Industrial Estate,TS25 2BE,555343070000,100,D,B1 Offices and Workshop businesses,2017-11-27,E06000001,E14000733,,2017-11-29,Mandatory issue (Marketed sale).,43,125,3,Grid Supplied Electricity,,,,95,67.09,57.38,168.16,134.36,No,,,4,Heating and Natural Ventilation,"Seneca Investment & Development Ltd, Hunter House Industrial Estate",Hartlepool,Hartlepool
